[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:43:59]   Epoch 001 [8100/10232]  reg=0.0679  rmse=0.5748
[02:43:59]   Epoch 001 [8150/10232]  reg=0.0674  rmse=0.5744
[02:44:00]   Epoch 001 [8200/10232]  reg=0.0877  rmse=0.5739
[02:44:00]   Epoch 001 [8250/10232]  reg=0.0677  rmse=0.5734
[02:44:00]   Epoch 001 [8300/10232]  reg=0.0790  rmse=0.5731
[02:44:01]   Epoch 001 [8350/10232]  reg=0.0975  rmse=0.5726
[02:44:01]   Epoch 001 [8400/10232]  reg=0.0713  rmse=0.5722
[02:44:02]   Epoch 001 [8450/10232]  reg=0.0798  rmse=0.5717
[02:44:02]   Epoch 001 [8500/10232]  reg=0.0877  rmse=0.5712
[02:44:02]   Epoch 001 [8550/10232]  reg=0.0661  rmse=0.5708
[02:44:03]   Epoch 001 [8600/10232]  reg=0.0696  rmse=0.5703
[02:44:03]   Epoch 001 [8650/10232]  reg=0.1198  rmse=0.5698
[02:44:04]   Epoch 001 [8700/10232]  reg=0.0773  rmse=0.5693
[02:44:04]   Epoch 001 [8750/10232]  reg=0.0654  rmse=0.5687
[02:44:04]   Epoch 001 [8800/10232]  reg=0.0746  rmse=0.5684
[02:44:05]   Epoch 001 [8850/10232]  reg=0.1194  rmse=0.5679
[02:44:05]   Epoch 001 [8900/10232]  reg=0.0773  rmse=0.5674
[02:44:06]   Epoch 001 [8950/10232]  reg=0.0947  rmse=0.5670
[02:44:06]   Epoch 001 [9000/10232]  reg=0.0624  rmse=0.5665
[02:44:06]   Epoch 001 [9050/10232]  reg=0.1365  rmse=0.5661
[02:44:07]   Epoch 001 [9100/10232]  reg=0.0753  rmse=0.5656
[02:44:07]   Epoch 001 [9150/10232]  reg=0.0579  rmse=0.5651
[02:44:08]   Epoch 001 [9200/10232]  reg=0.0724  rmse=0.5646
[02:44:08]   Epoch 001 [9250/10232]  reg=0.0813  rmse=0.5641
[02:44:09]   Epoch 001 [9300/10232]  reg=0.0707  rmse=0.5637
[02:44:09]   Epoch 001 [9350/10232]  reg=0.0658  rmse=0.5633
[02:44:09]   Epoch 001 [9400/10232]  reg=0.1664  rmse=0.5629
[02:44:10]   Epoch 001 [9450/10232]  reg=0.1518  rmse=0.5624
[02:44:10]   Epoch 001 [9500/10232]  reg=0.0663  rmse=0.5620
[02:44:11]   Epoch 001 [9550/10232]  reg=0.1650  rmse=0.5616
[02:44:11]   Epoch 001 [9600/10232]  reg=0.0641  rmse=0.5612
[02:44:12]   Epoch 001 [9650/10232]  reg=0.0548  rmse=0.5608
[02:44:12]   Epoch 001 [9700/10232]  reg=0.0550  rmse=0.5604
[02:44:13]   Epoch 001 [9750/10232]  reg=0.1014  rmse=0.5599
[02:44:13]   Epoch 001 [9800/10232]  reg=0.0711  rmse=0.5594
[02:44:14]   Epoch 001 [9850/10232]  reg=0.0755  rmse=0.5590
[02:44:14]   Epoch 001 [9900/10232]  reg=0.0614  rmse=0.5586
[02:44:15]   Epoch 001 [9950/10232]  reg=0.0649  rmse=0.5582
[02:44:15]   Epoch 001 [10000/10232]  reg=0.0643  rmse=0.5578
[02:44:16]   Epoch 001 [10050/10232]  reg=0.0831  rmse=0.5574
[02:44:16]   Epoch 001 [10100/10232]  reg=0.0533  rmse=0.5571
[02:44:16]   Epoch 001 [10150/10232]  reg=0.0565  rmse=0.5567
[02:44:17]   Epoch 001 [10200/10232]  reg=0.1224  rmse=0.5563
[02:44:29] Epoch 001/100  lr=2.80e-05  train[reg=0.1070 rmse=0.5564]  val[rmse=0.5525 xyz=(0.329,0.443,0.028)]  (128.1s)
[02:44:29]   체크포인트 저장: out_resnet_small\checkpoints\best.pth
[02:44:41]   Epoch 002 [  50/10232]  reg=0.0642  rmse=0.4802
[02:44:41]   Epoch 002 [ 100/10232]  reg=0.0563  rmse=0.4845
[02:44:42]   Epoch 002 [ 150/10232]  reg=0.0652  rmse=0.4770
[02:44:42]   Epoch 002 [ 200/10232]  reg=0.0838  rmse=0.4796
[02:44:42]   Epoch 002 [ 250/10232]  reg=0.0682  rmse=0.4779
[02:44:43]   Epoch 002 [ 300/10232]  reg=0.0679  rmse=0.4786
[02:44:43]   Epoch 002 [ 350/10232]  reg=0.0876  rmse=0.4773
[02:44:44]   Epoch 002 [ 400/10232]  reg=0.1093  rmse=0.4777
[02:44:44]   Epoch 002 [ 450/10232]  reg=0.0899  rmse=0.4763
[02:44:44]   Epoch 002 [ 500/10232]  reg=0.0691  rmse=0.4738
[02:44:45]   Epoch 002 [ 550/10232]  reg=0.0542  rmse=0.4717
[02:44:45]   Epoch 002 [ 600/10232]  reg=0.0653  rmse=0.4723
[02:44:46]   Epoch 002 [ 650/10232]  reg=0.0798  rmse=0.4722
[02:44:46]   Epoch 002 [ 700/10232]  reg=0.0627  rmse=0.4717
[02:44:46]   Epoch 002 [ 750/10232]  reg=0.1664  rmse=0.4719
[02:44:47]   Epoch 002 [ 800/10232]  reg=0.0634  rmse=0.4714
[02:44:47]   Epoch 002 [ 850/10232]  reg=0.0986  rmse=0.4710
[02:44:48]   Epoch 002 [ 900/10232]  reg=0.0665  rmse=0.4702
[02:44:48]   Epoch 002 [ 950/10232]  reg=0.0552  rmse=0.4695
[02:44:48]   Epoch 002 [1000/10232]  reg=0.0748  rmse=0.4691
[02:44:49]   Epoch 002 [1050/10232]  reg=0.0556  rmse=0.4692
[02:44:49]   Epoch 002 [1100/10232]  reg=0.0641  rmse=0.4720
[02:44:50]   Epoch 002 [1150/10232]  reg=0.0627  rmse=0.4714
[02:44:50]   Epoch 002 [1200/10232]  reg=0.0835  rmse=0.4701
[02:44:51]   Epoch 002 [1250/10232]  reg=0.0757  rmse=0.4697
[02:44:51]   Epoch 002 [1300/10232]  reg=0.0693  rmse=0.4691
[02:44:51]   Epoch 002 [1350/10232]  reg=0.0685  rmse=0.4691
[02:44:52]   Epoch 002 [1400/10232]  reg=0.0635  rmse=0.4680
[02:44:52]   Epoch 002 [1450/10232]  reg=0.0833  rmse=0.4675
[02:44:53]   Epoch 002 [1500/10232]  reg=0.0909  rmse=0.4670
[02:44:53]   Epoch 002 [1550/10232]  reg=0.1313  rmse=0.4670
[02:44:54]   Epoch 002 [1600/10232]  reg=0.0441  rmse=0.4665
[02:44:54]   Epoch 002 [1650/10232]  reg=0.0513  rmse=0.4658
[02:44:54]   Epoch 002 [1700/10232]  reg=0.0541  rmse=0.4656
[02:44:55]   Epoch 002 [1750/10232]  reg=0.1310  rmse=0.4654
[02:44:55]   Epoch 002 [1800/10232]  reg=0.0795  rmse=0.4649
[02:44:56]   Epoch 002 [1850/10232]  reg=0.0552  rmse=0.4646
[02:44:56]   Epoch 002 [1900/10232]  reg=0.0632  rmse=0.4640
[02:44:57]   Epoch 002 [1950/10232]  reg=0.0617  rmse=0.4635
[02:44:57]   Epoch 002 [2000/10232]  reg=0.0743  rmse=0.4630
[02:44:57]   Epoch 002 [2050/10232]  reg=0.0638  rmse=0.4627
[02:44:58]   Epoch 002 [2100/10232]  reg=0.0719  rmse=0.4624
[02:44:58]   Epoch 002 [2150/10232]  reg=0.0639  rmse=0.4624
[02:44:59]   Epoch 002 [2200/10232]  reg=0.0530  rmse=0.4620
[02:44:59]   Epoch 002 [2250/10232]  reg=0.0606  rmse=0.4615
[02:45:00]   Epoch 002 [2300/10232]  reg=0.0560  rmse=0.4608
[02:45:00]   Epoch 002 [2350/10232]  reg=0.1422  rmse=0.4608
[02:45:01]   Epoch 002 [2400/10232]  reg=0.0657  rmse=0.4605
[02:45:01]   Epoch 002 [2450/10232]  reg=0.0648  rmse=0.4603
[02:45:01]   Epoch 002 [2500/10232]  reg=0.0538  rmse=0.4603
[02:45:02]   Epoch 002 [2550/10232]  reg=0.1073  rmse=0.4601
[02:45:02]   Epoch 002 [2600/10232]  reg=0.0509  rmse=0.4599
[02:45:03]   Epoch 002 [2650/10232]  reg=0.0711  rmse=0.4598
[02:45:03]   Epoch 002 [2700/10232]  reg=0.0669  rmse=0.4594
[02:45:04]   Epoch 002 [2750/10232]  reg=0.0502  rmse=0.4590
[02:45:04]   Epoch 002 [2800/10232]  reg=0.0543  rmse=0.4586
[02:45:04]   Epoch 002 [2850/10232]  reg=0.0568  rmse=0.4584
[02:45:05]   Epoch 002 [2900/10232]  reg=0.0571  rmse=0.4581
[02:45:06]   Epoch 002 [2950/10232]  reg=0.0413  rmse=0.4577
[02:45:06]   Epoch 002 [3000/10232]  reg=0.0526  rmse=0.4574
[02:45:06]   Epoch 002 [3050/10232]  reg=0.0424  rmse=0.4570
[02:45:07]   Epoch 002 [3100/10232]  reg=0.0613  rmse=0.4566
[02:45:07]   Epoch 002 [3150/10232]  reg=0.0483  rmse=0.4563
[02:45:08]   Epoch 002 [3200/10232]  reg=0.0706  rmse=0.4560
[02:45:08]   Epoch 002 [3250/10232]  reg=0.0531  rmse=0.4557
[02:45:08]   Epoch 002 [3300/10232]  reg=0.0678  rmse=0.4553
[02:45:09]   Epoch 002 [3350/10232]  reg=0.0581  rmse=0.4552
